文件名,坐标,船数量
37417,0.435546875 0.61328125 0.16796875 0.2421875,1
37420,0.923828125 0.115234375 0.14453125 0.23046875,1
37421,0.4375 0.115234375 0.1640625 0.23046875,1
37424,0.931640625 0.88671875 0.12890625 0.1484375,1
37427,0.27734375 0.5234375 0.15625 0.234375,1
37428,0.931640625 0.396484375 0.12890625 0.15234375,1
37429,0.443359375 0.38671875 0.15234375 0.1484375,1
37430,0.75 0.052734375 0.0859375 0.10546875,1
37432,0.380859375 0.466796875 0.07421875 0.15234375,1
37433,0.943359375 0.853515625 0.10546875 0.11328125,1
37434,0.4765625 0.876953125 0.1875 0.15234375,1
37435,0.779296875 0.76953125 0.16796875 0.265625,1
37437,0.865234375 0.9453125 0.16015625 0.1015625,1
37440,0.380859375 0.720703125 0.15234375 0.13671875,1
37442,0.779296875 0.27734375 0.16796875 0.25,1
37443,0.279296875 0.26953125 0.16796875 0.265625,1
37445,0.37890625 0.87109375 0.140625 0.140625,1
37447,0.36328125 0.45703125 0.15625 0.125,1
37452,0.498046875 0.552734375 0.14453125 0.15234375,1
37453,0.677734375 0.712890625 0.15234375 0.12890625,1
37456,0.67578125 0.212890625 0.140625 0.12890625,1
37457,0.1796875 0.2109375 0.1484375 0.1328125,1
37458,0.515625 0.94921875 0.109375 0.0625,1
37459,0.03515625 0.958984375 0.0703125 0.05078125,1
37460,0.740234375 0.5234375 0.14453125 0.171875,1
37461,0.240234375 0.5234375 0.14453125 0.1640625,1
37462,0.517578125 0.45703125 0.10546875 0.0703125,1
37463,0.037109375 0.453125 0.07421875 0.0625,1
37464,0.74609375 0.046875 0.1328125 0.09375,1
37465,0.244140625 0.048828125 0.12890625 0.09765625,1
37468,0.833984375 0.720703125 0.19140625 0.15234375,1
37471,0.220703125 0.275390625 0.08984375 0.19921875,1
37472,0.62109375 0.583984375 0.1875 0.18359375,1
37473,0.12109375 0.583984375 0.1796875 0.19140625,1
37474,0.546875 0.52734375 0.140625 0.1640625,1
37476,0.833984375 0.21875 0.19140625 0.1484375,1
37478,0.619140625 0.080078125 0.18359375 0.16015625,1
37479,0.12109375 0.08203125 0.1875 0.1640625,1
37481,0.0546875 0.05078125 0.109375 0.1015625,1
37483,0.1328125 0.509765625 0.1328125 0.17578125,1
37487,0.251953125 0.759765625 0.23046875 0.20703125,1
37489,0.42578125 0.78515625 0.1640625 0.140625,1
37490,0.75 0.265625 0.2265625 0.2109375,1
37492,0.916015625 0.298828125 0.16015625 0.12109375,1
37493,0.419921875 0.2890625 0.15234375 0.1171875,1
37494,0.939453125 0.51171875 0.11328125 0.1171875,1
37497,0.408203125 0.537109375 0.16015625 0.17578125,1
37498,0.453125 0.03125 0.125 0.0625,1
37499,0.91015625 0.0625 0.15625 0.125,1
37500,0.4140625 0.060546875 0.1484375 0.12109375,1
37501,0.869140625 0.5546875 0.16015625 0.15625,1
37503,0.8671875 0.0703125 0.15625 0.140625,1
37504,0.376953125 0.06640625 0.16796875 0.1328125,1
37507,0.76953125 0.779296875 0.0546875 0.18359375,1
37510,0.46484375 0.7890625 0.1171875 0.109375,1
37512,0.2734375 0.291015625 0.046875 0.16015625,1
37514,0.130859375 0.8515625 0.12109375 0.109375,1
37515,0.951171875 0.28515625 0.08984375 0.1171875,1
37517,0.6796875 0.515625 0.109375 0.1015625,1
37518,0.1796875 0.517578125 0.1171875 0.08984375,1
37521,0.486328125 0.609375 0.07421875 0.046875;0.634765625 0.689453125 0.15234375 0.06640625,2
37522,0.654296875 0.53515625 0.05078125 0.15625,1
37523,0.154296875 0.533203125 0.05859375 0.14453125,1
37525,0.4453125 0.6328125 0.1796875 0.0703125,1
37526,0.927734375 0.125 0.13671875 0.0703125,1
37529,0.443359375 0.125 0.17578125 0.0703125,1
37531,0.0703125 0.822265625 0.140625 0.05078125;0.599609375 0.720703125 0.22265625 0.07421875,2
37532,0.099609375 0.21875 0.19921875 0.078125;0.814453125 0.1640625 0.15234375 0.0859375,2
37534,0.751953125 0.701171875 0.11328125 0.05078125,1
37535,0.24609375 0.693359375 0.1015625 0.03515625;0.728515625 0.62109375 0.12890625 0.046875,2
37537,0.142578125 0.857421875 0.16796875 0.05859375,1
37538,0.5546875 0.314453125 0.1796875 0.07421875,1
37541,0.44921875 0.501953125 0.1953125 0.19140625,1
37542,0.541015625 0.484375 0.16015625 0.234375,1
37548,0.75390625 0.27734375 0.0625 0.140625,1
37549,0.25390625 0.27734375 0.0625 0.140625,1
37550,0.115234375 0.6015625 0.08984375 0.0546875,1
37552,0.85546875 0.330078125 0.2734375 0.07421875,1
37553,0.37109375 0.33203125 0.28125 0.078125;0.66015625 0.279296875 0.171875 0.07421875;0.904296875 0.234375 0.18359375 0.078125,3
37555,0.46484375 0.783203125 0.0546875 0.09765625,1
37556,0.958984375 0.28515625 0.04296875 0.1015625,1
37557,0.46484375 0.28515625 0.046875 0.1015625,1
37559,0.408203125 0.853515625 0.06640625 0.28515625,1
37560,0.90625 0.35546875 0.0625 0.28125,1
37561,0.412109375 0.36328125 0.06640625 0.2890625,1
37563,0.0390625 0.486328125 0.0703125 0.11328125,1
37564,0.6484375 0.705078125 0.15625 0.16796875;0.724609375 0.607421875 0.11328125 0.12890625,2
37566,0.646484375 0.208984375 0.15234375 0.17578125;0.73046875 0.109375 0.1171875 0.125,2
37568,0.708984375 0.5078125 0.12109375 0.140625,1
37569,0.2109375 0.505859375 0.1171875 0.14453125,1
37574,0.18359375 0.71875 0.1328125 0.1328125;0.587890625 0.74609375 0.09765625 0.140625;0.779296875 0.62890625 0.08984375 0.1640625;0.732421875 0.609375 0.07421875 0.15625;0.828125 0.810546875 0.0859375 0.13671875;0.873046875 0.625 0.07421875 0.15625,6
37575,0.703125 0.59375 0.1640625 0.109375,1
37576,0.185546875 0.21875 0.12890625 0.1328125;0.59375 0.234375 0.09375 0.1484375;0.822265625 0.31640625 0.08203125 0.1171875;0.876953125 0.134765625 0.08984375 0.16796875;0.736328125 0.115234375 0.09765625 0.15234375,5
37579,0.46484375 0.037109375 0.1171875 0.07421875,1
37580,0.78515625 0.541015625 0.21875 0.23046875,1
37581,0.287109375 0.54296875 0.23828125 0.2421875,1
37583,0.275390625 0.677734375 0.37890625 0.18359375,1
37584,0.78125 0.169921875 0.34375 0.17578125,1
37585,0.271484375 0.169921875 0.36328125 0.18359375,1
37586,0.4921875 0.689453125 0.140625 0.58203125,1
37587,0.482421875 0.244140625 0.12109375 0.48828125,1
37591,0.33984375 0.14453125 0.3125 0.2421875,1
37592,0.453125 0.509765625 0.4296875 0.22265625,1
37593,0.279296875 0.064453125 0.20703125 0.12890625,1
37594,0.49609375 0.05078125 0.3515625 0.1015625,1
37595,0.88671875 0.466796875 0.21875 0.19921875,1
37596,0.404296875 0.46484375 0.24609375 0.1953125,1
37597,0.83203125 0.859375 0.1796875 0.15625,1
37598,0.33984375 0.865234375 0.171875 0.16015625,1
37601,0.33984375 0.361328125 0.1796875 0.15234375,1
37603,0.041015625 0.701171875 0.08203125 0.15234375,1
37605,0.03125 0.185546875 0.0625 0.15234375,1
37607,0.14453125 0.62890625 0.203125 0.1953125,1
37608,0.658203125 0.1328125 0.19140625 0.1875,1
37611,0.849609375 0.763671875 0.09765625 0.41796875,1
37614,0.349609375 0.2421875 0.09765625 0.375,1
37615,0.396484375 0.837890625 0.03515625 0.25390625,1
37618,0.693359375 0.1796875 0.17578125 0.1875,1
37621,0.431640625 0.44921875 0.31640625 0.15625,1
37622,0.90625 0.912109375 0.1796875 0.16796875,1
37623,0.44921875 0.896484375 0.3046875 0.19921875,1
37625,0.814453125 0.7421875 0.20703125 0.15625,1
37626,0.310546875 0.7421875 0.20703125 0.1640625,1
37627,0.4609375 0.421875 0.1640625 0.1796875,1
37632,0.337890625 0.23828125 0.12890625 0.140625,1
37635,0.744140625 0.88671875 0.05078125 0.1484375,1
37636,0.240234375 0.890625 0.05859375 0.1484375,1
37638,0.33203125 0.5625 0.25 0.0703125,1
37641,0.40234375 0.6484375 0.078125 0.2265625,1
37644,0.091796875 0.595703125 0.05859375 0.18359375;0.068359375 0.82421875 0.06640625 0.1484375,2
37647,0.0703125 0.326171875 0.0546875 0.16015625;0.095703125 0.1015625 0.05859375 0.171875,2
37648,0.859375 0.69140625 0.0390625 0.1015625,1
37653,0.830078125 0.064453125 0.26953125 0.07421875,1
37654,0.330078125 0.060546875 0.26953125 0.07421875,1
37655,0.533203125 0.859375 0.23828125 0.140625;0.296875 0.88671875 0.171875 0.1015625;0.466796875 0.310546875 0.09765625 0.20703125;0.6171875 0.244140625 0.0625 0.15234375;0.654296875 0.2734375 0.13671875 0.25;0.75390625 0.271484375 0.0859375 0.16796875;0.796875 0.6640625 0.1015625 0.078125,7
37657,0.482421875 0.638671875 0.11328125 0.20703125,1
37659,0.841796875 0.83984375 0.19140625 0.1640625,1
37660,0.34765625 0.84375 0.171875 0.15625,1
37661,0.763671875 0.548828125 0.11328125 0.32421875,1
37662,0.267578125 0.5546875 0.11328125 0.3203125,1
37663,0.91015625 0.775390625 0.1328125 0.23828125,1
37666,0.265625 0.091796875 0.078125 0.18359375,1
37667,0.65625 0.529296875 0.125 0.19921875,1
37669,0.904296875 0.2734375 0.13671875 0.203125,1
37670,0.404296875 0.27734375 0.13671875 0.21875,1
37674,0.16796875 0.05078125 0.1015625 0.1015625,1
37676,0.4453125 0.318359375 0.1484375 0.17578125,1
37678,0.458984375 0.72265625 0.08984375 0.3359375,1
37682,0.271484375 0.763671875 0.14453125 0.23828125,1
37683,0.880859375 0.861328125 0.12109375 0.26953125,1
37684,0.369140625 0.861328125 0.12109375 0.26953125,1
37688,0.37109375 0.404296875 0.125 0.34765625,1
37691,0.8046875 0.892578125 0.140625 0.14453125,1
37695,0.802734375 0.39453125 0.12890625 0.15625,1
37700,0.046875 0.08984375 0.09375 0.171875,1
37701,0.734375 0.43359375 0.1796875 0.2109375,1
37703,0.931640625 0.701171875 0.12890625 0.11328125,1
37704,0.4453125 0.712890625 0.171875 0.13671875,1
37705,0.951171875 0.671875 0.07421875 0.2109375,1
37706,0.453125 0.6796875 0.0859375 0.21875,1
37708,0.205078125 0.5625 0.23828125 0.2734375;0.9296875 0.205078125 0.1328125 0.12109375,2
37709,0.4453125 0.208984375 0.1640625 0.12109375,1
37711,0.453125 0.177734375 0.078125 0.17578125,1
37712,0.7109375 0.087890625 0.2109375 0.17578125,1
37713,0.208984375 0.083984375 0.21484375 0.16796875,1
37714,0.7421875 0.884765625 0.1015625 0.12890625,1
37715,0.2421875 0.88671875 0.109375 0.1328125,1
37717,0.3046875 0.7734375 0.1484375 0.1953125,1
37718,0.740234375 0.400390625 0.09765625 0.16796875,1
37721,0.3046875 0.275390625 0.140625 0.17578125,1
37722,0.583984375 0.83984375 0.15234375 0.28125,1
37730,0.576171875 0.18359375 0.14453125 0.140625,1
37732,0.708984375 0.494140625 0.16796875 0.18359375,1
37735,0.2265625 0.0390625 0.1171875 0.078125,1
37736,0.76171875 0.7578125 0.1640625 0.1484375,1
37737,0.259765625 0.7578125 0.16796875 0.15625,1
37739,0.35546875 0.576171875 0.1640625 0.17578125,1
37742,0.771484375 0.765625 0.16015625 0.1953125,1
37745,0.35546875 0.078125 0.1484375 0.15625,1
37746,0.767578125 0.267578125 0.13671875 0.17578125,1
37747,0.265625 0.267578125 0.140625 0.18359375,1
37750,0.42578125 0.69140625 0.1015625 0.3125,1
37753,0.501953125 0.326171875 0.13671875 0.14453125,1
37756,0.92578125 0.193359375 0.0703125 0.30859375,1
37757,0.427734375 0.197265625 0.08203125 0.30859375,1
37758,0.869140625 0.45703125 0.15234375 0.1875,1
37762,0.576171875 0.33203125 0.15234375 0.2421875,1
37763,0.083984375 0.328125 0.15234375 0.2265625,1
37764,0.6796875 0.73828125 0.1015625 0.140625,1
37765,0.1796875 0.736328125 0.1015625 0.12890625,1
37769,0.181640625 0.2265625 0.08984375 0.09375,1
37770,0.60546875 0.7578125 0.109375 0.1171875,1
37771,0.103515625 0.7578125 0.10546875 0.1171875,1
37772,0.763671875 0.33203125 0.14453125 0.1015625,1
37774,0.6953125 0.83203125 0.1328125 0.125,1
37775,0.19140625 0.833984375 0.125 0.12109375,1
37776,0.541015625 0.689453125 0.12890625 0.13671875,1
37777,0.05078125 0.6875 0.1015625 0.1171875,1
37779,0.103515625 0.26171875 0.10546875 0.1171875,1
37782,0.689453125 0.33984375 0.11328125 0.1171875,1
37783,0.1875 0.3359375 0.1171875 0.1171875,1
37789,0.251953125 0.03125 0.10546875 0.0625,1
37790,0.7578125 0.283203125 0.1015625 0.12890625,1
37792,0.640625 0.67578125 0.125 0.1875,1
37794,0.841796875 0.634765625 0.14453125 0.23046875,1
37795,0.341796875 0.6328125 0.13671875 0.2421875,1
37799,0.341796875 0.15234375 0.13671875 0.1875,1
37800,0.64453125 0.869140625 0.1796875 0.08203125,1
37802,0.58984375 0.830078125 0.109375 0.04296875,1
37804,0.357421875 0.697265625 0.22265625 0.08203125;0.642578125 0.3671875 0.17578125 0.078125,2
37805,0.583984375 0.333984375 0.10546875 0.03515625,1
37806,0.091796875 0.328125 0.11328125 0.0390625;0.857421875 0.1953125 0.22265625 0.0859375,2
37810,0.6484375 0.23828125 0.15625 0.0625,1
37815,0.599609375 0.724609375 0.14453125 0.08203125,1
37817,0.619140625 0.88671875 0.23046875 0.09375,1
37819,0.595703125 0.2265625 0.15234375 0.078125,1
37820,0.103515625 0.224609375 0.16015625 0.08203125,1
37822,0.123046875 0.388671875 0.23046875 0.09765625,1
37823,0.72265625 0.55078125 0.1640625 0.09375,1
37824,0.22265625 0.55078125 0.1640625 0.09375,1
37825,0.720703125 0.05078125 0.17578125 0.09375,1
37831,0.8046875 0.294921875 0.1640625 0.10546875,1
37832,0.30859375 0.29296875 0.15625 0.109375,1
37834,0.123046875 0.435546875 0.18359375 0.08984375,1
37835,0.48828125 0.533203125 0.21875 0.14453125,1
37837,0.19140625 0.90625 0.140625 0.0546875,1
37839,0.869140625 0.935546875 0.15234375 0.09765625,1
37846,0.189453125 0.404296875 0.14453125 0.06640625,1
37849,0.873046875 0.431640625 0.15234375 0.08984375,1
37850,0.37109375 0.435546875 0.1484375 0.09765625,1
37852,0.056640625 0.3203125 0.11328125 0.125,1
37853,0.53125 0.21875 0.1484375 0.0859375,1
37854,0.052734375 0.21484375 0.10546875 0.078125,1
37856,0.3984375 0.5625 0.15625 0.0703125,1
37857,0.912109375 0.935546875 0.16796875 0.11328125,1
37861,0.93359375 0.859375 0.125 0.0703125,1
37864,0.328125 0.556640625 0.1953125 0.12890625,1
37866,0.421875 0.431640625 0.1796875 0.11328125,1
37873,0.328125 0.0625 0.2109375 0.125,1
37876,0.154296875 0.345703125 0.12890625 0.05078125,1
37877,0.802734375 0.78515625 0.19921875 0.0546875,1
37878,0.302734375 0.78125 0.19921875 0.0546875,1
37880,0.30078125 0.283203125 0.203125 0.05859375,1
37882,0.095703125 0.53125 0.11328125 0.0625,1
37883,0.720703125 0.58984375 0.19921875 0.109375,1
37888,0.3125 0.978515625 0.1875 0.03515625,1
37890,0.21484375 0.091796875 0.1875 0.10546875,1
37891,0.92578125 0.70703125 0.1328125 0.0625,1
37893,0.677734375 0.841796875 0.21484375 0.05859375,1
37895,0.82421875 0.490234375 0.1640625 0.05859375,1
37898,0.443359375 0.201171875 0.16015625 0.06640625,1
37899,0.572265625 0.634765625 0.13671875 0.08203125,1
37900,0.072265625 0.63671875 0.13671875 0.078125,1
37901,0.67578125 0.341796875 0.2109375 0.05859375,1
37903,0.568359375 0.138671875 0.12890625 0.08203125,1
37904,0.076171875 0.134765625 0.13671875 0.07421875,1
37906,0.171875 0.384765625 0.2421875 0.07421875,1
37912,0.03515625 0.75 0.0703125 0.0703125,1
37914,0.130859375 0.498046875 0.16796875 0.15234375,1
37915,0.759765625 0.87890625 0.19140625 0.109375,1
37916,0.26171875 0.8828125 0.1953125 0.109375,1
37921,0.033203125 0.25390625 0.06640625 0.0625,1
37922,0.599609375 0.0390625 0.11328125 0.078125,1
37923,0.095703125 0.0390625 0.10546875 0.078125,1
37924,0.759765625 0.37890625 0.19140625 0.109375,1
37929,0.466796875 0.771484375 0.19921875 0.05078125,1
37930,0.798828125 0.578125 0.16015625 0.0625,1
37932,0.66796875 0.900390625 0.140625 0.08984375,1
37934,0.466796875 0.279296875 0.19921875 0.07421875,1
37936,0.298828125 0.080078125 0.16015625 0.05859375,1
37937,0.896484375 0.775390625 0.13671875 0.04296875,1
37938,0.3984375 0.775390625 0.1328125 0.05078125,1
37939,0.732421875 0.779296875 0.16015625 0.08203125,1
37940,0.228515625 0.77734375 0.15234375 0.0859375,1
37942,0.166015625 0.400390625 0.13671875 0.08984375,1
37943,0.896484375 0.2734375 0.13671875 0.046875,1
37946,0.224609375 0.28125 0.15234375 0.0859375,1
37948,0.447265625 0.798828125 0.15234375 0.09765625,1
37949,0.658203125 0.767578125 0.16015625 0.08203125,1
37950,0.16015625 0.767578125 0.15625 0.07421875,1
37953,0.93359375 0.30859375 0.125 0.078125,1
37954,0.447265625 0.30078125 0.15234375 0.09375,1
37957,0.65625 0.267578125 0.15625 0.08203125,1
37962,0.09765625 0.9375 0.15625 0.1171875,1
37963,0.751953125 0.48046875 0.16015625 0.046875,1
37965,0.59375 0.4375 0.15625 0.109375,1
37966,0.091796875 0.44140625 0.14453125 0.109375,1
37967,0.947265625 0.650390625 0.09765625 0.06640625,1
37969,0.630859375 0.560546875 0.09765625 0.08203125,1
37970,0.130859375 0.5546875 0.09765625 0.0859375,1
37972,0.46875 0.14453125 0.140625 0.0703125,1
37974,0.755859375 0.931640625 0.12890625 0.12109375,1
37978,0.626953125 0.056640625 0.08984375 0.08203125,1
37981,0.71875 0.810546875 0.1171875 0.05859375,1
37982,0.224609375 0.8125 0.10546875 0.0546875,1
37986,0.26171875 0.203125 0.140625 0.1015625,1
37988,0.09765625 0.791015625 0.1875 0.12109375,1
37989,0.4609375 0.048828125 0.1953125 0.05859375,1
37990,0.724609375 0.3125 0.10546875 0.0625,1
37991,0.224609375 0.31640625 0.10546875 0.0625,1
37992,0.595703125 0.291015625 0.18359375 0.12890625,1
37996,0.62109375 0.53515625 0.1953125 0.0859375,1
37997,0.12109375 0.5390625 0.1953125 0.078125,1
37998,0.73828125 0.548828125 0.125 0.03515625,1
38001,0.05078125 0.955078125 0.1015625 0.08203125,1
38003,0.087890625 0.56640625 0.13671875 0.0546875,1
38005,0.26171875 0.126953125 0.140625 0.11328125,1
38006,0.6171875 0.0390625 0.1953125 0.078125,1
38008,0.76171875 0.8203125 0.1796875 0.0859375,1
38010,0.736328125 0.052734375 0.12890625 0.04296875,1
38011,0.236328125 0.0546875 0.12109375 0.0390625,1
38013,0.046875 0.45703125 0.09375 0.0859375,1
38015,0.416015625 0.6328125 0.14453125 0.0859375,1
38017,0.08984375 0.064453125 0.1328125 0.06640625,1
38018,0.765625 0.3203125 0.1953125 0.0859375,1
38020,0.916015625 0.138671875 0.15234375 0.08984375,1
38022,0.587890625 0.748046875 0.13671875 0.12890625,1
38024,0.88671875 0.96875 0.1171875 0.0546875,1
38025,0.38671875 0.962890625 0.109375 0.06640625,1
38027,0.111328125 0.759765625 0.12109375 0.07421875,1
38028,0.513671875 0.94921875 0.12890625 0.0546875,1
38029,0.037109375 0.947265625 0.07421875 0.05859375,1
38031,0.08984375 0.248046875 0.140625 0.12890625,1
38032,0.8828125 0.470703125 0.1171875 0.07421875,1
38034,0.61328125 0.2578125 0.1171875 0.078125,1
38035,0.111328125 0.2578125 0.12109375 0.078125,1
38037,0.564453125 0.734375 0.13671875 0.0703125,1
38038,0.06640625 0.736328125 0.1328125 0.08203125,1
38039,0.72265625 0.6484375 0.1484375 0.125,1
38041,0.56640625 0.240234375 0.140625 0.08203125,1
38043,0.7265625 0.142578125 0.1484375 0.12890625,1
38045,0.623046875 0.97265625 0.12890625 0.046875,1
38046,0.123046875 0.970703125 0.12890625 0.05078125;0.62890625 0.712890625 0.1484375 0.08984375,2
38047,0.130859375 0.7109375 0.14453125 0.09375,1
38048,0.623046875 0.47265625 0.12890625 0.046875,1
38049,0.62890625 0.21484375 0.1484375 0.09375;0.12109375 0.470703125 0.1328125 0.04296875,2
38052,0.267578125 0.7421875 0.09765625 0.046875,1
38054,0.23046875 0.623046875 0.109375 0.05078125,1
38055,0.9296875 0.630859375 0.1328125 0.11328125;0.501953125 0.955078125 0.16015625 0.08203125,2
38056,0.431640625 0.630859375 0.13671875 0.10546875;0.041015625 0.947265625 0.08203125 0.07421875,2
38059,0.240234375 0.849609375 0.12890625 0.05078125;0.224609375 0.123046875 0.12109375 0.04296875,2
38060,0.5 0.45703125 0.15625 0.0859375;0.927734375 0.1328125 0.13671875 0.1015625,2
38061,0.4296875 0.130859375 0.140625 0.11328125;0.04296875 0.44921875 0.0859375 0.0703125,2
38062,0.740234375 0.349609375 0.12109375 0.05078125,1
38063,0.244140625 0.349609375 0.12890625 0.05078125,1
38064,0.59765625 0.8984375 0.1953125 0.1171875,1
38067,0.1015625 0.40234375 0.203125 0.1171875,1
38068,0.91796875 0.595703125 0.15625 0.07421875,1
38069,0.44140625 0.583984375 0.2109375 0.12109375,1
38071,0.4453125 0.083984375 0.21875 0.10546875,1
38074,0.650390625 0.736328125 0.16015625 0.05078125,1
38075,0.15234375 0.734375 0.1484375 0.0546875,1
38077,0.232421875 0.904296875 0.09765625 0.12109375,1
38078,0.720703125 0.724609375 0.04296875 0.18359375,1
38087,0.177734375 0.142578125 0.17578125 0.08203125;0.03515625 0.779296875 0.0703125 0.05859375,2
38088,0.4296875 0.16796875 0.1640625 0.1796875;0.279296875 0.484375 0.09765625 0.1171875;0.734375 0.611328125 0.0625 0.05859375,3
38091,0.462890625 0.912109375 0.12890625 0.15234375,1
38092,0.951171875 0.421875 0.08984375 0.1328125,1
38093,0.470703125 0.40625 0.12890625 0.15625,1
38094,0.51171875 0.173828125 0.1015625 0.14453125,1
38095,0.572265625 0.82421875 0.13671875 0.0859375,1
38097,0.5703125 0.322265625 0.140625 0.08203125,1
38098,0.072265625 0.322265625 0.13671875 0.08203125,1
38099,0.732421875 0.126953125 0.03515625 0.19140625,1
38100,0.232421875 0.134765625 0.04296875 0.20703125,1
38104,0.416015625 0.951171875 0.03515625 0.08984375,1
38105,0.9140625 0.515625 0.0390625 0.21875,1
38106,0.416015625 0.517578125 0.03515625 0.22265625,1
38109,0.919921875 0.056640625 0.03515625 0.11328125,1
38112,0.361328125 0.73828125 0.05078125 0.21875,1
38115,0.859375 0.24609375 0.046875 0.1953125,1
38116,0.359375 0.25 0.046875 0.1796875,1
38118,0.89453125 0.935546875 0.0390625 0.12109375,1
38122,0.873046875 0.55078125 0.06640625 0.3359375,1
38123,0.369140625 0.111328125 0.05078125 0.22265625,1
38126,0.87109375 0.10546875 0.046875 0.2109375,1
38128,0.42578125 0.36328125 0.0546875 0.2109375,1
38129,0.634765625 0.716796875 0.05078125 0.26953125,1
38131,0.6328125 0.20703125 0.0546875 0.296875,1
38132,0.138671875 0.2109375 0.05859375 0.3203125,1
38134,0.087890625 0.857421875 0.05078125 0.22265625,1
38135,0.505859375 0.849609375 0.05078125 0.26953125,1
38136,0.01171875 0.853515625 0.0234375 0.27734375,1
38137,0.591796875 0.359375 0.05078125 0.21875,1
38138,0.09375 0.359375 0.046875 0.21875,1
38140,0.01171875 0.34765625 0.0234375 0.2265625,1
38141,0.6953125 0.65625 0.078125 0.3359375,1
38142,0.19140625 0.654296875 0.078125 0.33203125,1
38143,0.919921875 0.59765625 0.15234375 0.109375,1
38147,0.6875 0.15625 0.078125 0.3125,1
38148,0.185546875 0.154296875 0.07421875 0.30859375,1
38149,0.919921875 0.09375 0.15234375 0.109375,1
38151,0.61328125 0.880859375 0.078125 0.23046875,1
38152,0.111328125 0.880859375 0.07421875 0.23046875,1
38153,0.884765625 0.431640625 0.06640625 0.25390625,1
38154,0.38671875 0.4296875 0.0546875 0.2578125,1
38155,0.623046875 0.47265625 0.09765625 0.390625,1
38158,0.119140625 0.076171875 0.07421875 0.15234375,1
38160,0.451171875 0.587890625 0.09765625 0.24609375,1
38167,0.359375 0.236328125 0.046875 0.16796875,1
38172,0.275390625 0.763671875 0.07421875 0.33203125,1
38173,0.53125 0.08984375 0.09375 0.1796875,1
38178,0.078125 0.529296875 0.0859375 0.30078125,1
38179,0.779296875 0.763671875 0.06640625 0.33984375,1
38180,0.279296875 0.267578125 0.07421875 0.33984375,1
38181,0.595703125 0.341796875 0.02734375 0.21484375,1
38183,0.35546875 0.66015625 0.0859375 0.2578125,1
38184,0.78515625 0.53125 0.125 0.1796875,1
38186,0.578125 0.091796875 0.0703125 0.18359375,1
38188,0.76953125 0.25390625 0.0625 0.3125,1
38190,0.349609375 0.6875 0.05859375 0.265625,1
38191,0.8515625 0.16015625 0.078125 0.25,1
38192,0.353515625 0.154296875 0.07421875 0.25390625,1
38199,0.533203125 0.75390625 0.07421875 0.2734375,1
38200,0.03125 0.748046875 0.0625 0.25390625,1
38204,0.244140625 0.4453125 0.05859375 0.2890625,1
38205,0.556640625 0.720703125 0.08203125 0.26171875,1
38206,0.056640625 0.71875 0.08203125 0.2578125,1
38207,0.533203125 0.25390625 0.07421875 0.2734375,1
38208,0.03125 0.25390625 0.0625 0.2578125,1
38209,0.625 0.126953125 0.0703125 0.25390625,1
38210,0.123046875 0.125 0.05859375 0.25,1
38212,0.056640625 0.22265625 0.08203125 0.25,1
38214,0.24609375 0.873046875 0.0703125 0.24609375,1
38216,0.25390625 0.423828125 0.0703125 0.34765625,1
38218,0.35546875 0.685546875 0.0703125 0.26953125,1
38219,0.767578125 0.748046875 0.05078125 0.23828125,1
38224,0.35546875 0.1875 0.0625 0.2578125,1
38225,0.765625 0.244140625 0.046875 0.22265625,1
38228,0.970703125 0.59375 0.05078125 0.2109375,1
38229,0.474609375 0.599609375 0.05859375 0.21484375,1
38231,0.099609375 0.345703125 0.05078125 0.24609375,1
38232,0.556640625 0.548828125 0.05859375 0.29296875,1
38235,0.408203125 0.83984375 0.09765625 0.265625;0.96875 0.10546875 0.046875 0.1875,2
38236,0.46875 0.099609375 0.046875 0.19921875,1
38237,0.595703125 0.345703125 0.05078125 0.22265625,1
38240,0.90625 0.33984375 0.078125 0.2890625,1
38241,0.404296875 0.333984375 0.08203125 0.26953125,1
38242,0.373046875 0.728515625 0.06640625 0.33203125,1
38243,0.51171875 0.884765625 0.046875 0.22265625,1
38244,0.015625 0.888671875 0.03125 0.21484375,1
38245,0.873046875 0.7265625 0.05859375 0.328125,1
38246,0.37109375 0.234375 0.0625 0.328125,1
38247,0.509765625 0.421875 0.04296875 0.2890625,1
38248,0.01171875 0.412109375 0.0234375 0.25390625;0.603515625 0.837890625 0.06640625 0.31640625,2
38249,0.107421875 0.84375 0.06640625 0.3046875;0.873046875 0.23046875 0.06640625 0.3203125,2
38250,0.61328125 0.35546875 0.0703125 0.328125,1
38251,0.107421875 0.345703125 0.06640625 0.32421875,1
38253,0.408203125 0.8046875 0.08203125 0.328125,1
38254,0.904296875 0.302734375 0.06640625 0.30859375,1
38256,0.650390625 0.138671875 0.03515625 0.27734375,1
38257,0.154296875 0.138671875 0.05078125 0.27734375,1
38259,0.228515625 0.634765625 0.05078125 0.23046875,1
38260,0.958984375 0.650390625 0.07421875 0.07421875,1
38261,0.48828125 0.673828125 0.140625 0.11328125,1
38262,0.95703125 0.15234375 0.078125 0.0703125,1
38263,0.486328125 0.173828125 0.12890625 0.11328125,1
38264,0.51171875 0.8828125 0.078125 0.2265625,1
38266,0.02734375 0.48828125 0.0546875 0.25,1
38267,0.44921875 0.740234375 0.15625 0.23828125,1
38268,0.5234375 0.0546875 0.0625 0.109375,1
38269,0.033203125 0.056640625 0.06640625 0.11328125,1
